id,signature_id,att_order,att_name,att_default_value,att_purpose
171,35,3,bin_seeding,False,param
172,35,4,min_bin_freq,1,param
173,35,5,cluster_all,True,param
174,35,6,max_iter,300,param
175,35,7,n_jobs,None,param
176,36,0,affinity,UNDEF,param
177,36,1,n_clusters,8,param
178,36,2,n_components,None,param
179,36,3,eigen_solver,None,param
180,36,4,random_state,None,param
181,36,5,n_init,10,param
182,36,6,eigen_tol,0,param
183,36,7,assign_labels,’kmeans’,param
184,37,0,X,UNDEF,param
185,37,1,connectivity,None,param
186,37,2,n_clusters,None,param
187,37,3,return_distance,False,param
188,38,0,n_clusters,3,param
189,38,1,method,’bistochastic’,param
190,38,2,n_components,6,param
191,38,3,n_best,3,param
192,38,4,svd_method,’randomized’,param
193,38,5,n_svd_vecs,None,param
194,38,6,mini_batch,False,param
195,38,7,init,’k-means++’,param
196,38,8,n_init,10,param
197,38,9,n_jobs,None,param
198,38,10,random_state,None,param
199,39,0,n_clusters,3,param
200,39,1,svd_method,’randomized’,param
201,39,2,n_svd_vecs,None,param
202,39,3,mini_batch,False,param
203,39,4,init,’k-means++’,param
204,39,5,n_init,10,param
205,39,6,n_jobs,None,param
206,39,7,random_state,None,param
207,40,0,transformers,UNDEF,col_arct
208,40,1,remainder,’drop’,param
209,40,2,sparse_threshold,0.3,param
210,40,3,n_jobs,None,param
211,40,4,transformer_weights,None,param
212,40,5,verbose,False,param
213,41,0,regressor,None,param
214,41,1,transformer,None,param
215,41,2,func,None,param
216,41,3,inverse_func,None,param
217,41,4,check_inverse,True,param
218,42,0,*transformers,UNDEF,param
219,42,1,**kwargs,UNDEF,param
220,43,0,store_precision,True,param
221,43,1,assume_centered,False,param
222,44,0,store_precision,True,param
223,44,1,assume_centered,False,param
224,44,2,support_fraction,None,param
225,44,3,contamination,0.1,param
226,44,4,random_state,None,param
227,45,0,alpha,0.01,param
228,45,1,mode,’cd’,param
229,45,2,tol,0.0001,param
230,45,3,enet_tol,0.0001,param
231,45,4,max_iter,100,param
232,45,5,verbose,False,param
233,45,6,assume_centered,False,param
234,46,0,alphas,4,param
235,46,1,n_refinements,4,param
236,46,2,cv,’warn’,param
237,46,3,tol,0.0001,param
238,46,4,enet_tol,0.0001,param
239,46,5,max_iter,100,param
240,46,6,mode,’cd’,param
241,46,7,n_jobs,None,param
242,46,8,verbose,False,param
243,46,9,assume_centered,False,param
244,47,0,store_precision,True,param
245,47,1,assume_centered,False,param
246,47,2,block_size,1000,param
247,48,0,store_precision,True,param
248,48,1,assume_centered,False,param
249,48,2,support_fraction,None,param
250,48,3,random_state,None,param
251,49,0,store_precision,True,param
252,49,1,assume_centered,False,param
253,50,0,store_precision,True,param
254,50,1,assume_centered,False,param
255,50,2,shrinkage,0.1,param
256,51,0,X,UNDEF,param
257,51,1,assume_centered,False,param
258,52,0,emp_cov,UNDEF,param
259,52,1,alpha,UNDEF,param
260,52,2,cov_init,None,param
261,52,3,mode,’cd’,param
262,52,4,tol,0.0001,param
263,52,5,enet_tol,0.0001,param
264,52,6,max_iter,100,param
265,52,7,verbose,False,param
266,52,8,return_costs,False,param
267,52,9,eps,2.22044604925031E-16,param
268,52,10,return_n_iter,False,param
269,53,0,X,UNDEF,param
270,53,1,assume_centered,False,param
271,53,2,block_size,1000,param
272,54,0,X,UNDEF,param
273,54,1,assume_centered,False,param
274,55,0,emp_cov,UNDEF,param
275,55,1,shrinkage,0.1,param
276,56,0,n_components,2,param
277,56,1,scale,True,param
278,56,2,max_iter,500,param
279,56,3,tol,1E-06,param
280,56,4,copy,True,param
281,57,0,n_components,2,param
282,57,1,scale,True,param
283,57,2,algorithm,’nipals’,param
284,57,3,max_iter,500,param
285,57,4,tol,1E-06,param
286,57,5,copy,True,param
287,58,0,n_components,2,param
288,58,1,scale,True,param
289,58,2,max_iter,500,param
290,58,3,tol,1E-06,param
291,58,4,copy,True,param
292,59,0,n_components,2,param
293,59,1,scale,True,param
294,59,2,copy,True,param
295,60,0,data_home,None,param
296,61,0,X,UNDEF,param
297,61,1,y,UNDEF,param
298,61,2,f,UNDEF,param
299,61,3,zero_based,True,param
300,61,4,comment,None,param
301,61,5,query_id,None,param
302,61,6,multilabel,False,param
303,62,0,data_home,None,param
304,62,1,subset,’train’,param
305,62,2,categories,None,param
306,62,3,shuffle,True,param
307,62,4,random_state,42,param
308,62,5,remove,(),param
309,62,6,download_if_missing,True,param
310,63,0,subset,’train’,param
311,63,1,remove,(),param
312,63,2,data_home,None,param
313,63,3,download_if_missing,True,param
314,63,4,return_X_y,False,param
315,64,0,data_home,None,param
316,64,1,download_if_missing,True,param
317,64,2,return_X_y,False,param
318,65,0,data_home,None,param
319,65,1,download_if_missing,True,param
320,65,2,random_state,None,param
321,65,3,shuffle,False,param
322,65,4,return_X_y,False,param
323,66,0,subset,None,param
324,66,1,data_home,None,param
325,66,2,shuffle,False,param
326,66,3,random_state,None,param
327,66,4,percent10,True,param
328,66,5,download_if_missing,True,param
329,66,6,return_X_y,False,param
330,67,0,subset,’train’,param
331,67,1,data_home,None,param
332,67,2,funneled,True,param
333,67,3,resize,0.5,param
334,67,4,color,False,param
335,67,5,slice_,(slice(70,param
336,67,6,195,UNDEF,param
337,67,7,None),UNDEF,param
338,67,8,slice(78,UNDEF,param
339,67,9,172,UNDEF,param
340,67,10,None)),UNDEF,param
341,67,11,download_if_missing,True,param
342,68,0,data_home,None,param
343,68,1,funneled,True,param
344,68,2,resize,0.5,param
345,68,3,min_faces_per_person,0,param
346,68,4,color,False,param
347,68,5,slice_,(slice(70,param
348,68,6,195,UNDEF,param
349,68,7,None),UNDEF,param
350,68,8,slice(78,UNDEF,param
351,68,9,172,UNDEF,param
